Group 1,Group 2,Group 3
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.17647', 'Distance: 0.01228']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.17647', 'Distance: 0.01228']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.17647', 'Distance: 0.01228']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.17647', 'Distance: 0.01228']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.20833', 'Distance: 0.01958']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.21053', 'Distance: 0.02178']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.21053', 'Distance: 0.02178']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.50000', 'Distance: 0.03201']","['Value: 0.21053', 'Distance: 0.02178']"
